cartodb_id,the_geom,the_geom_webmercator,name,address,phone,state,state_abb,status,distance,allhomes_zhvi_predenom_2016_08,closed_date,total_pop_area_2011_2015
3,0101000020E61000000AD6389B8E5C55C07619FED30D504040,0101000020110F00006F876C7D722462C10CFF22F21C574D41,JCPenney - Colonial University in Auburn,1627 Opelika Rd Ste 69,(334) 826-1954,Alabama,AL,closing,24140,,2014-04-17 00:00:00+00,866.007593566184
4,0101000020E6100000E96514CB2DBF55C07F2F8507CDAA4040,0101000020110F00003AD009EF347862C110A1BA13DE0E4E41,JCPenney - Clnl Prom @tannehill in Bessemer,4835 Promenade Pkwy,(205) 565-2720,Alabama,AL,closing,24140,155500,2015-07-21 00:00:00+00,174.35547502788
5,0101000020E61000003468E89FE0B355C01475E61E12584040,0101000020110F0000E4EBC3C39B6E62C139F61E8549674D41,JCPenney - Cullman Shopg Cntr,711 Second Ave NW,(256) 739-3726,Alabama,AL,retaining,24140,,,6.90315718784853
6,0101000020E6100000BEF6CC92005B55C0AF44A0FA07413F40,0101000020110F0000D2E0C270202362C171737DD2BBF74B41,JCPenney - Wiregrass Commons in Dothan,900 Commons Dr Ste 900,(334) 794-0531,Alabama,AL,retaining,24140,,,494.424071729732
7,0101000020E61000000695021C0C7855C0C019468B7D533F40,0101000020110F0000D1198A71CB3B62C1161D4E5D140A4C41,JCPenney - Enterprise S/C,626 Boll Weevil Cir,(334) 347-0861,Alabama,AL,retaining,24140,118900,,133.130676990044
8,0101000020E61000003468E89FE0B355C01475E61E12584040,0101000020110F0000E4EBC3C39B6E62C139F61E8549674D41,JCPenney - Regency Sq in Florence,301 Cox Creek Pkwy (Rt 133),(256) 766-8280,Alabama,AL,retaining,24140,,,6.90315718784853
9,0101000020E6100000DA1D520C90B355C0DEE522BE13CD4040,0101000020110F000051C7BF54576E62C15DAF5A64A9544E41,JCPenney - Promenade Fultondale,3363 Lowery Pkwy,(205) 994-7330,Alabama,AL,retaining,24140,125000,,444.01972863433
10,0101000020E6100000AB798EC8778055C006103E9468FF4040,0101000020110F000021A21442F24262C1CF471EC78ABB4E41,JCPenney - Gadsden Mall,1001 Rainbow Dr,(256) 680-3168,Alabama,AL,closing,24140,,2012-10-04 00:00:00+00,278.799172761681
11,0101000020E6100000BD378600E0B355C0CC7B9C69C2B04040,0101000020110F0000F89B663C9B6E62C1B4206525FC1A4E41,JCPenney - Riverchase Galleria in Hoover,2300 Riverchase Galleria,(205) 988-9603,Alabama,AL,retaining,24140,270400,,743.825298898505
12,0101000020E6100000F1A0D9756FAA55C0A08D5C37A55E4140,0101000020110F0000CD11C7DD966662C1FF2DDB8C867F4F41,JCPenney - Madison Sq in Huntsville,5901 University Dr,(256) 837-2011,Alabama,AL,retaining,24140,200200,,161.62996841255
13,0101000020E61000003468E89FE0B355C01475E61E12584040,0101000020110F0000E4EBC3C39B6E62C139F61E8549674D41,JCPenney - Jasper Mall,300 Hwy 78 E,(205) 221-5630,Alabama,AL,closing,24140,,2014-04-08 00:00:00+00,6.90315718784853
14,0101000020E61000003468E89FE0B355C01475E61E12584040,0101000020110F0000E4EBC3C39B6E62C139F61E8549674D41,JCPenney - Bel Air Mall in Mobile,3400 Bell Air Mall,(251) 476-4560,Alabama,AL,retaining,24140,,,6.90315718784853
15,0101000020E610000060E7A6CD388D55C001A5A14621314040,0101000020110F00007634953DC74D62C17AB97012D4184D41,JCPenney - Eastdale Mall in Montgomery,1236 Eastdale Mall,(334) 272-2933,Alabama,AL,retaining,24140,167300,,454.955132068114
16,0101000020E61000009964E42CEC7455C036902E36ADCE4040,0101000020110F0000814C2C0F243962C17B2AF483EC574E41,JCPenney - Quintard Mall in Oxford,700 Quintard Dr Ste 100,(256) 831-2144,Alabama,AL,retaining,24140,,,192.702319127891
