DomesticG,RDate,PBudget,WorldwideG,Title
"$760,507,625",12/18/2009,"$425,000,000","$2,783,918,982",Avatar
"$936,662,225",12/18/2015,"$306,000,000","$2,058,662,225",Star Wars Ep. VII: The Force Awakens
"$309,420,425",5/24/2007,"$300,000,000","$963,420,425",Pirates of the Caribbean: At Worlds End
"$200,074,175",11/6/2015,"$300,000,000","$879,620,923",Spectre
"$448,139,099",7/20/2012,"$275,000,000","$1,084,439,099",The Dark Knight Rises
"$89,302,115",7/2/2013,"$275,000,000","$260,002,115",The Lone Ranger
"$73,058,679",3/9/2012,"$275,000,000","$282,778,100",John Carter
"$200,821,936",11/24/2010,"$260,000,000","$586,581,936",Tangled
"$336,530,303",5/4/2007,"$258,000,000","$890,875,303",Spider-Man 3
"$459,005,868",5/1/2015,"$250,000,000","$1,404,705,868",Avengers: Age of Ultron
"$408,084,349",5/6/2016,"$250,000,000","$1,151,684,349",Captain America: Civil War
"$330,360,194",3/25/2016,"$250,000,000","$868,160,194",Batman v Superman: Dawn of Justice
"$303,003,568",12/14/2012,"$250,000,000","$1,017,003,568",The Hobbit: An Unexpected Journey
"$301,959,197",7/15/2009,"$250,000,000","$935,083,686",Harry Potter and the Half-Blood Prince
"$258,366,855",12/13/2013,"$250,000,000","$960,366,855",The Hobbit: The Desolation of Smaug
"$255,119,788",12/17/2014,"$250,000,000","$955,119,788",The Hobbit: The Battle of the Five Armies
"$241,063,875",5/20/2011,"$250,000,000","$1,045,663,875",Pirates of the Caribbean: On Stranger Tides
"$165,767,175",4/14/2017,"$250,000,000","$910,718,600",The Fate of the Furious
"$200,120,000",6/28/2006,"$232,000,000","$374,085,065",Superman Returns
"$169,368,427",11/14/2008,"$230,000,000","$591,692,078",Quantum of Solace
"$623,279,547",5/4/2012,"$225,000,000","$1,519,479,547",The Avengers
"$423,315,812",7/7/2006,"$225,000,000","$1,066,215,812",Pirates of the Caribbean: Dead Mans Chest
"$291,045,518",6/14/2013,"$225,000,000","$667,999,518",Man of Steel
"$141,621,490",5/16/2008,"$225,000,000","$417,341,288",The Chronicles of Narnia: Prince Caspian
"$262,030,663",7/3/2012,"$220,000,000","$757,890,267",The Amazing Spider-Man
"$652,198,010",6/12/2015,"$215,000,000","$1,671,640,593",Jurassic World
"$179,020,854",5/25/2012,"$215,000,000","$654,213,485",Men in Black 3
"$402,111,870",6/24/2009,"$210,000,000","$836,519,699",Transformers: Revenge of the Fallen
"$245,439,076",6/27/2014,"$210,000,000","$1,104,039,076",Transformers: Age of Extinction
"$234,362,462",5/26/2006,"$210,000,000","$459,359,555",X-Men: The Last Stand
"$105,269,730",5/14/2010,"$210,000,000","$322,241,588",Robin Hood
"$65,233,400",5/18/2012,"$209,000,000","$305,218,228",Battleship
"$218,080,025",12/14/2005,"$207,000,000","$550,517,357",King Kong
"$70,107,728",12/1/2007,"$205,000,000","$367,262,558",The Golden Compass
"$658,672,302",12/19/1997,"$200,000,000","$2,207,615,668",Titanic
"$532,134,274",12/16/2016,"$200,000,000","$1,050,945,438",Rogue One: A Star Wars Story
"$486,295,561",6/17/2016,"$200,000,000","$1,022,617,376",Finding Dory
"$415,004,880",6/18/2010,"$200,000,000","$1,069,818,229",Toy Story 3
"$408,992,272",5/3/2013,"$200,000,000","$1,215,392,272",Iron Man 3
"$373,524,485",6/30/2004,"$200,000,000","$783,705,001",Spider-Man 2
"$334,191,110",3/5/2010,"$200,000,000","$1,025,491,110",Alice in Wonderland
"$304,360,277",11/8/2012,"$200,000,000","$1,110,526,981",Skyfall
"$268,488,329",6/21/2013,"$200,000,000","$743,588,329",Monsters University
"$234,770,996",3/8/2013,"$200,000,000","$490,359,051",Oz the Great and Powerful
"$233,921,534",5/23/2014,"$200,000,000","$747,862,775",X-Men: Days of Future Past
"$202,853,933",5/2/2014,"$200,000,000","$708,996,336",The Amazing Spider-Man 2
"$191,450,875",6/24/2011,"$200,000,000","$560,155,383",Cars 2
"$172,062,763",12/17/2010,"$200,000,000","$397,562,763",Tron: Legacy
"$166,112,167",11/13/2009,"$200,000,000","$788,408,539",2012
"$125,322,469",5/21/2009,"$200,000,000","$365,491,792",Terminator Salvation
"$116,601,172",6/17/2011,"$200,000,000","$231,201,172",Green Lantern
"$90,759,676",5/28/2010,"$200,000,000","$314,594,597",Prince of Persia: Sands of Time
"$352,390,543",6/29/2011,"$195,000,000","$1,123,790,543",Transformers: Dark of the Moon
"$65,187,603",3/1/2013,"$195,000,000","$197,687,603",Jack the Giant Slayer
"$351,032,910",4/3/2015,"$190,000,000","$1,516,748,684",Furious 7
"$228,778,661",5/15/2013,"$190,000,000","$467,381,584",Star Trek Into Darkness
"$202,359,711",6/21/2013,"$190,000,000","$531,514,650",World War Z
"$144,840,419",5/10/2013,"$190,000,000","$351,040,419",The Great Gatsby
"$137,855,863",11/6/2009,"$190,000,000","$315,709,697",Disney's A Christmas Carol
"$101,802,906",7/12/2013,"$190,000,000","$411,002,906",Pacific Rim
"$123,087,120",11/25/2015,"$187,500,000","$334,342,692",The Good Dinosaur
"$318,604,126",5/2/2008,"$186,000,000","$584,604,126",Iron Man
"$533,345,358",7/18/2008,"$185,000,000","$1,002,891,358",The Dark Knight
"$317,023,851",5/22/2008,"$185,000,000","$786,558,145",Indiana Jones and the Kingdom of the Crystal Skull
"$237,282,182",6/22/2012,"$185,000,000","$554,606,532",Brave
"$164,024,451",3/10/2017,"$185,000,000","$557,178,006",Kong: Skull Island
"$158,848,340",7/22/2016,"$185,000,000","$336,398,312",Star Trek Beyond
"$291,710,957",12/9/2005,"$180,000,000","$720,539,572","The Chronicles of Narnia: The Lion, the Witch and the Wardrobe"
"$241,407,328",5/30/2014,"$180,000,000","$758,536,735",Maleficent
"$234,037,575",11/18/2016,"$180,000,000","$803,798,342",Fantastic Beasts and Where to Find Them
"$223,808,164",6/27/2008,"$180,000,000","$532,590,994",WALL-E
