food_form,rating,weight,lifestage,cost,food_texture,size,category,fish_type,dimensions,special_diet,toy_feature,product_name,item_number,litter_and_bedding_type,small_pet_type,brand,material,no_reviews,litter_box_type,old_cost,supplement_form,reptile_type,bowl_feature,bed_type,made_in,product_description,leash_and_collar_feature,bird_type,breed_size,page,percent_rec
treats,4.8,,adult,$7.00,,14 count,Dog Dental & Healthcare,,,,,Milk-Bone,99836,,,,,73,,$10.37,,,,,united_states,Milk-Bone Large Brushing Chews Daily Dental Dog Treats,,,"giant,_large",1,96
treats,4.2,7.84ounces,"all_stages,_adult",$4.76,,None,Dog Dental & Healthcare,,,rawhide-free,,SmartBones,79452,,,petmatrix,,98,,$8.99,,,,,,"SmartBones Calming Care Chicken Chews Dog Treats, 16 pack",,,"all_breeds,_small,_medium,_large",1,90
treats,4.8,2.25pounds,"adult,_all_stages",$29.24,,None,Dog Dental & Healthcare,,,,,Greenies,50345,,,,,933,,$44.99,,,,,united_states,Greenies Regular Dental Dog Treats,,,medium,1,98
wet_food,4.8,,adult,$64.59,pate,None,Dog Dental & Healthcare,,,prescription_food,,Royal Canin Veterinary Diet,49970,,,royal_canin,,279,,$78.99,,,,,united_states,"Royal Canin Veterinary Diet Urinary SO Canned Dog Food, 13.6-oz, case of 24",,,"all_breeds,_small,_medium,_large",1,99
,4.5,2.0pounds,"kitten,_puppy,_adult",$35.99,,X-Large,Dog Beds & Mats,,"19
________________________x_19
____________________________x_19inches",,,Best Pet Supplies,107132,,,,fleece,17,,None,,,,"covered,_pillow",,"Best Pet Supplies Coral Fleece Tent Bed, Tan",,,,1,100
,4.6,5.6ounces,"kitten,_puppy,_adult",$20.39,,24-inch,Dog Beds & Mats,,"24
________________________x_20
____________________________x_7inches",,,Aspen Pet,83890,,,petmate,,186,,$28.38,,,,pillow,,"Aspen Pet Self Warming Pet Bed, Warm Spice/Cream",,,,1,92
,4.8,,"adult,_all_stages",$39.00,,Jumbo,Dog Beds & Mats,,"44
________________________x_35
____________________________x_4inches",,,FurHaven,111426,,,,polyester,19,,$55.99,,,,pillow,,FurHaven NAP Ultra Plush Deluxe Memory Foam Pet Bed,,,giant,1,100
,4.3,,"kitten,_puppy,_adult",$14.99,,None,Dog Beds & Mats,,"22
________________________x_22
____________________________x_6inches",,,American Kennel Club,106537,,,,polyester,None,,$24.99,,,,pillow,,American Kennel Club Casablanca Round Pet Bed,,,,1,90
,4.1,,,$14.99,,30-inch,Dog Beds & Mats,,"30
________________________x_22
____________________________x_2inches",,,American Kennel Club,106525,,,,,37,,$22.99,,,,,,American Kennel Club Pet Bed & Crate Mat,,,,1,81
,4.6,,,$3.68,,None,Dog Vitamins & Supplements,,,,,Vetoquinol,81839,,,vet_solutions,,39,,$6.61,,,,,united_states,Vetoquinol Enzadent Dual-Ended Toothbrush for Dogs & Cats,,,,1,89
,4.2,,,$57.49,,None,Dog Training & Behavior,,,,,PetSafe,63629,,,,,119,,None,,,,,,PetSafe Little Dog Remote Trainer,,,"extra_small,_small,_medium",1,85
,4.6,,,$14.99,,50-ml,Dog Training & Behavior,,,,,The Company of Animals,81251,,,,,137,,$46.55,,,,,,The Company of Animals Pet Corrector Dog Training Aid,,,,1,92
,4.3,,,$6.39,,None,Dog Training & Behavior,,,,,Sentry,71580,,,sergeant's,,110,,$9.99,,,,,,"Sentry Stop That! Noise & Pheromone Dog Spray, 1-oz bottle",,,,1,85
,4.4,,,$79.95,,None,Dog Training & Behavior,,,,,SportDOG,79538,,,petsafe,,48,,$109.95,,,,,,SportDOG SBC-10R NoBark 10R Anti-Bark Collar for Dogs,,,"small,_medium,_large,_giant",1,89
,4.2,,,$7.45,,None,Dog Training & Behavior,,,,,PetSafe,63619,,,,,74,,$10.99,,,,,,PetSafe Ssscat Pet Deterrent Training Aid Refill,,,,1,89
,4.3,,,$3.82,,None,Dog Training & Behavior,,,,,Starmark,77168,,,,,35,,$4.49,,,,,,Starmark Pro-Training Clicker Deluxe Dog Training Aid,,,,1,88
,4.7,,adult,$46.99,,None,Cat Flea & Tick,,,,,Advantage II,73927,,,bayer,,584,,$50.97,,,,,united_states,Advantage II Flea Treatment for Large Cats Over 9 lbs,,,,1,95
