food_form,rating,weight,lifestage,cost,food_texture,size,category,fish_type,dimensions,special_diet,toy_feature,product_name,item_number,small_pet_type,brand,material,old_cost,no_reviews,supplement_form,reptile_type,bed_type,made_in,product_description,bird_type,breed_size,page,percent_rec
,4.5,,,$1.79,,None,Cat Toys,,,,,Ethical Pet,71301,,spot,,$5.36,1436,,,,,Ethical Pet Wide Durable Heavy Gauge Plastic Colorful Springs Cat Toy,,,1,91
,2.7,,,$4.36,,None,Cat Toys,,,,,Pet Qwerks,102258,,,,$9.67,43,,,,,"Pet Qwerks Incredibubbles for Cats, Catnip",,,1,52
,4.5,,,$1.99,,None,Cat Toys,,,,,Ethical Pet,71298,,spot,,$2.89,127,,,,,Ethical Pet Thin Colorful Springs Cat Toy,,,1,93
,4.5,,"adult,_all_stages",$4.49,,None,Cat Toys,,"5
________________________x_4
____________________________x_1.5inches",,"catnip,_noisemaking",SmartyKat,102753,,,"polyester,_plastic",$5.99,39,,,,,SmartyKat Chickadee Chirp Electronic Bird-Sound Cat Toy,,,1,90
,4.2,,,$2.59,,None,Cat Toys,,,,stuffing-free,Ethical Pet,71314,,spot,,$8.44,111,,,,,Ethical Pet Skinneeez Mouse Cat Toy,,,1,83
treats,4,2ounces,adult,$2.79,,None,Cat Toys,,,,,Friskies,89973,,purina,,$3.99,55,,,,united_states,Friskies Pull 'n Play Tender Strings Chicken & Cheese Flavors Cat Treats,,,1,75
,4.3,,,$12.99,,None,Cat Toys,,"16.5
________________________x_16
____________________________x_5inches",,,Omega Paw,62557,,,,$19.99,108,,,,,Omega Paw Ripple Board Scratch Massage Cat Bed,,all_breeds,1,86
,4.1,,,$2.90,,None,Cat Toys,,,,"catnip,_stuffing-free",Ethical Pet,71305,,spot,,$5.30,123,,,,,Ethical Pet Skinneeez Forest Creature with Catnip Cat Toy,,,1,80
,4.6,,,$3.77,,None,Cat Toys,,,,"catnip,_noisemaking",KONG,53514,,,,$6.99,78,,,,,KONG Crinkle Fish Cat Toy,,,1,94
,4.2,,,$2.59,,None,Cat Toys,,,,catnip,Petstages,64661,,,,$6.99,88,,,,,Petstages Dental Health Chews Cat Toy,,,1,86
,3.7,,"puppy,_kitten",$4.96,,None,Cat Toys,,"15
________________________x_2
____________________________x_0.5inches",,,Ethical Pet,90235,,spot,,$10.28,55,,,,,Ethical Pet Telescoping Kitty Teaser Cat Toy,,,1,74
,4.3,,,$5.89,,None,Cat Toys,,,,,Catit,64982,,hagen,,$7.99,114,,,,,"Catit Design Senses Circuit Motion Activated Illuminated Balls Cat Toy, 2-count",,,1,89
treats,4.3,,adult,$4.99,,None,Dog Toys,,"18
________________________x_3.5
____________________________x_0.63inches",,,USA Bones & Chews,86885,,,cotton,$6.99,417,,,,united_states,USA Bones & Chews Cotton Rope with Bones Dog Toy,,"small,_medium,_large,_all_breeds",1,86
,4.6,,"adult,_all_stages",$3.29,,None,Cat Toys,,,,catnip,Our Pet's,55678,,our_pet's,,$6.99,118,,,,,Our Pet's Catnip 24 Karat Cat Toy,,,1,91
,4.5,,adult,$5.99,,None,"Small Pet Beds, Hideouts & Toys",,"5
________________________x_9
____________________________x_13inches",,,Peter's,101264,"ferret,_rabbit,_guinea_pig,_chinchilla",marshall,grass_/_hay,$8.91,19,,,,,"Peter's Woven Grass Small Animal Bed, 10-inch",,,1,94
,3.7,,,$2.89,,None,Cat Toys,,,,,KONG,66556,,,,$4.25,95,,,,,KONG Active Treat Ball Cat Toy,,,1,76
,4.2,,,$3.69,,None,"Small Pet Beds, Hideouts & Toys",,"5
________________________x_5
____________________________x_5inches",,,Peter's,101259,"ferret,_rabbit,_guinea_pig,_chinchilla",marshall,,$8.72,13,,,,,"Peter's Woven Grass Ball Animal Toy, Small",,,1,77
,4.9,,"adult,_all_stages",$19.99,,None,Cat Toys,,"22
________________________x_13
____________________________x_5inches",,catnip,Scratch Lounge,64391,,,"cardboard,_recycled_materials",$24.95,351,,,,united_states,Scratch Lounge The Original Scratch Lounge,,,1,98
,4.4,,,$2.88,,None,Cat Toys,,,,"catnip,_noisemaking",Ethical Pet,71460,,spot,,$6.74,100,,,,,Ethical Pet Door-Able Bouncing Mouse with Catnip Cat Toy,,all_breeds,2,88
,4.5,,,$4.79,,None,"Small Pet Beds, Hideouts & Toys",,,,,Kaytee,101513,"rabbit,_guinea_pig,_chinchilla,_gerbil,_hamster,_rat,_mouse",,,$6.99,39,,,,united_states,"Kaytee Nut Knot Nibbler Small Animal Chew Toy, 4-inch",,,1,92
